userAcceleration.x,userAcceleration.y,rotationRate.x,rotationRate.y,gravity.x,gravity.y,attitude.roll,attitude.pitch,class
-0.0010429999999999,-0.001593,0.013252,-0.002239,0.29511,0.346121,0.3199849999999999,-0.353433,sitting
-0.218415,1.878958,-4.977648,1.228892,-0.208403,0.977961,-1.631258,-1.360459,jogging
0.471391,-1.24725,-3.922082,3.458315,-0.338029,0.820859,-0.633363,-0.962913,jogging
0.526938,0.724568,4.147624,-2.46016,-0.228278,0.798732,-0.389144,-0.925185,jogging
-0.520837,-0.025526,0.850191,1.395792,0.133218,0.987822,2.111519,-1.414573,walking
-0.2186219999999999,-0.6715369999999999,0.423563,-1.911838,-0.003988,0.972211,-3.124556,-1.334498,jogging
0.001976,-0.000665,-0.028464,0.026239,0.278344,0.323327,0.298559,-0.329243,sitting
0.029055,0.0015119999999999,-0.454802,0.29504,-0.077914,0.994749,-0.86565,-1.468274,walking
-0.028661,-0.331359,0.900883,-0.963856,0.064046,0.994322,0.647656,-1.464185,walking
-0.0522169999999999,-0.004388,-0.000287,0.105214,-0.357344,0.930398,-1.34726,-1.195498,standing
-0.025865,-0.1378,-0.94369,0.540172,0.024858,0.992933,0.211392,-1.451841,walking
0.048399,0.265844,3.195801,-2.269274,0.034212,0.897761,0.077747,-1.114659,jogging
0.005775,0.002146,0.002409,-0.001542,0.277062,0.323385,0.297148,-0.329305,sitting
-0.041179,-0.073206,-0.719521,0.792967,0.013881,0.992106,0.111125,-1.44506,walking
-0.007631,-0.002982,0.010143,-0.003155,0.268907,0.3472969999999999,0.290839,-0.354687,sitting
-0.031538,-0.005753,-0.0330899999999999,0.106743,-0.402819,0.91417,-1.45965,-1.153456,standing
-0.02748,0.002619,-0.009195,0.034928,0.281447,0.401998,0.312436,-0.4136979999999999,sitting
-0.023329,-0.00734,-0.051265,0.031521,-0.430361,0.8983469999999999,-1.772291,-1.115991,standing
-0.067476,-0.016269,0.001712,-0.001255,-0.331801,0.941776,-1.409936,-1.227873,standing
0.056319,-0.490493,0.31718,-0.820557,0.001191,0.980361,0.0060409999999999,-1.372286,walking
0.010014,0.010928,0.039599,0.086312,0.27859,0.341748,0.300961,-0.348777,sitting
-0.020327,-0.009405,0.040102,0.004506,-0.320417,0.94692,-1.649909,-1.243517,standing
0.004755,-0.919556,1.948481,1.666218,-0.036417,0.990219,-2.877495,-1.43082,jogging
-0.006441,-0.000176,0.0470029999999999,0.006002,-0.337233,0.941383,-1.591897,-1.226708,standing
-0.047961,-0.003388,0.057016,-0.0317529999999999,-0.360212,0.928116,-1.315844,-1.189321,standing
-0.026728,-0.198997,-0.516392,0.024365,-0.010961,0.992103,-0.087523,-1.445042,walking
-0.3235369999999999,-0.348145,2.399772,1.823716,-0.102595,0.890229,-2.914411,-1.097847,jogging
-0.2128949999999999,-0.285169,3.29395,1.111216,0.069309,0.96565,2.871524,-1.307932,jogging
